title,price,link,image
【For updating shipping info】,"$1 ~ 1,260",https://fanhouse.waca.ec/en/product/detail/1700732,https://wacaimg1.waca.ec/uploads/shops/3388/products/5a/5ac3ca48efff1e4afbe36b89635662ef.jpg
【Order reship】,$1 ~ 110,https://fanhouse.waca.ec/en/product/detail/745030,https://wacaimg1.waca.ec/uploads/shops/3388/products/d6/d6e383308ee1c1190a874a55d62877dc.jpg
《山王男子BASKETBALL創刊號》　／SLAM DUNK　Illustration Artbook+Comic　BY：嘎可／CHsuan／遜／光叁／檀桔／雷龍／王揮戒／helohelo／黒江兆／菱角Hishi／講手／米乓／企鵝 ／みお子／餅若丸／ぷーぱ／町田／まび,$300 ~ 350,https://fanhouse.waca.ec/en/product/detail/1663778,https://wacaimg1.waca.ec/uploads/shops/3388/products/1c/1c3d9d587160ce79df0cf445b0e37584.jpg
《After Winning》　／SLAM DUNK　RuHana　Comic　BY：老殘,$160,https://fanhouse.waca.ec/en/product/detail/1671081,https://wacaimg1.waca.ec/uploads/shops/3388/products/0a/0a349346a9e53ac8d872e2475c54c831.jpg
《以父之名》　／Jujutsu Kaisen　GojoIta　Comic　BY：詠雪（鎮靜劑+1）,$200,https://fanhouse.waca.ec/en/product/detail/1724457,https://wacaimg1.waca.ec/uploads/shops/3388/products/29/29c1b111e5291c121303d02096d70a19.jpg
《醒來發現自己變成了自推的孩子—！？》　／SLAM DUNK　RuHana　Comic　BY：妹子（OiMO）,$230,https://fanhouse.waca.ec/en/product/detail/1741562,https://wacaimg1.waca.ec/uploads/shops/3388/products/63/63efee84f7665d3194a6549b53606bb5.jpg
Goosmav／Roosmav 3cm Acrylic Blocks　／Top Gun:Maverick　Goosmav／Roosmav　Goods　BY：波小姐(LADY PO)（泡在大槍裡的吸貓太太）,$90,https://fanhouse.waca.ec/en/product/detail/1772734,https://wacaimg1.waca.ec/uploads/shops/3388/products/4a/4afdbaffd8a2934af06a3c211b94fca7.jpg
《櫻木花道大危機!!》Postcard　／SLAM DUNK　Goods　BY：波小姐(LADY PO)（我們果真是天才）,$40,https://fanhouse.waca.ec/en/product/detail/1772728,https://wacaimg1.waca.ec/uploads/shops/3388/products/36/361009bd6cfcc1fd7d71196ef24f9150.jpg
《少根筋的他與雙胞胎兔子》　／Original　Comic　BY：地獄道長,$300,https://fanhouse.waca.ec/en/product/detail/1772263,https://wacaimg1.waca.ec/uploads/shops/3388/products/3e/3e88ed3d2ea7f20cc79daa74bf6d4a33.jpg
《耀眼的他與陰沉的兔子》　／Original　Comic　BY：地獄道長,$300,https://fanhouse.waca.ec/en/product/detail/1772257,https://wacaimg1.waca.ec/uploads/shops/3388/products/ae/ae2df0fbb84022cd04fe33fa4c82c521.jpg
【PRE-SALE】Lukejamie Acrylic Charm　／Street Fighter　Luke Sullivan/Jamie Siu　Goods　BY：米乓,$120,https://fanhouse.waca.ec/en/product/detail/1771841,https://wacaimg1.waca.ec/uploads/shops/3388/products/49/49ea6f0178f1b018ef979b9ff646810e.jpg
【PRE-SALE】LUKE & JAMIE Sticker　／Street Fighter　Luke Sullivan/Jamie Siu　Goods　BY：米乓,$120,https://fanhouse.waca.ec/en/product/detail/1771821,https://wacaimg1.waca.ec/uploads/shops/3388/products/8e/8eb032bcf0fb3bdc4584dba403e7647f.jpg
【PRE-SALE】LUKE & JAMIE Acrylic Stands Set　／Street Fighter　Luke Sullivan/Jamie Siu　Goods　BY：米乓,$200,https://fanhouse.waca.ec/en/product/detail/1771809,https://wacaimg1.waca.ec/uploads/shops/3388/products/10/1013371f90df83bb8569bb69428f5fb8.jpg
《HEY CHAT!》Posters & Cards Set　／Nijisanji-EN／VTuber　Goods　BY：跋倒（庠隱）,$120 ~ 280,https://fanhouse.waca.ec/en/product/detail/1767650,https://wacaimg1.waca.ec/uploads/shops/3388/products/3c/3c8f16163776b4d0aaa2e9dbb9f0b0d4.jpg
《HEY CHAT!》　／Nijisanji-EN／VTuber　Illustration Book　BY：跋倒（庠隱）,$60 ~ 980,https://fanhouse.waca.ec/en/product/detail/1767647,https://wacaimg1.waca.ec/uploads/shops/3388/products/27/27a4b8ba6502f779b55d95bfc639be59.jpg
《Minista》Acrylic Blocks　／Nijisanji-EN／VTuber　Goods　BY：跋倒（庠隱）,$180 ~ 900,https://fanhouse.waca.ec/en/product/detail/1767643,https://wacaimg1.waca.ec/uploads/shops/3388/products/4d/4df969ffa03ee32eda382e51ea1eb192.jpg
《Minista》Puffy Stickers　／Nijisanji-EN／VTuber　Goods　BY：跋倒（庠隱）,$140,https://fanhouse.waca.ec/en/product/detail/1767641,https://wacaimg1.waca.ec/uploads/shops/3388/products/87/872948d4468e99c4b427af25549589c1.jpg
《Luxiem House》A5 PP Box+ Sticker　／Nijisanji-EN／VTuber　Goods　BY：跋倒（庠隱）,$70 ~ 330,https://fanhouse.waca.ec/en/product/detail/1766440,https://wacaimg1.waca.ec/uploads/shops/3388/products/77/771e22c362d5d52ff9c5d2c788c74f9f.jpg
《白袍下的戀愛禁區》　／Jujutsu Kaisen　GojoGeto　Comic+Novel　BY：RUKA／tozbo／永穗／虎皮捲,$710,https://fanhouse.waca.ec/en/product/detail/1736052,https://wacaimg1.waca.ec/uploads/shops/3388/products/dc/dc2eb396f90b246958bd94a6494e96db.jpg
《專屬你的上司命令》　／Jujutsu Kaisen　SukuFushi　Comic　BY：RUKA（糧倉建設局）,$360 ~ 810,https://fanhouse.waca.ec/en/product/detail/1040012,https://wacaimg1.waca.ec/uploads/shops/3388/products/92/927819183e837e595dc6f3c37776b373.jpg
